
Tue 2009/09/15 15:00:42.592  (Trace)	|>>>|javawsApplicationMain|WorldPhotoScatter|in setUpWorld()
Tue 2009/09/15 15:00:42.601  (Debug)	|---|javawsApplicationMain|WorldPhotoScatter|TextureImage ti |class behaviorism.textures.TextureImagename = none
Tue 2009/09/15 15:00:42.605  (Debug)	|   |javawsApplicationMain|TextureManager|in addTexture() : adding texture of type class behaviorism.textures.TextureImage

Tue 2009/09/15 15:00:42.606  (Trace)	|>>>|javawsApplicationMain|WorldPhotoScatter|in testVideoScatterPHOTO()
Tue 2009/09/15 15:00:42.608  (Debug)	|   |javawsApplicationMain|WorldPhotoScatter|making GeomImage from Texture to be used as light source.
Tue 2009/09/15 15:00:42.638  (Debug)	|   |javawsApplicationMain|WorldPhotoScatter|not using any occluders...
Tue 2009/09/15 15:00:42.639  (Debug)	|   |javawsApplicationMain|WorldPhotoScatter|making FBO

Tue 2009/09/15 15:00:42.641  (Trace)	|>>>|javawsApplicationMain|TextureFBOScatter|in TextureFBOScatter() constructor
Tue 2009/09/15 15:00:42.642  (Trace)	|<<<|javawsApplicationMain|TextureFBOScatter|out TextureFBOScatter() constructor

Tue 2009/09/15 15:00:42.642  (Debug)	|   |javawsApplicationMain|TextureManager|in addTexture() : adding texture of type class examples.fbos.TextureFBOScatter
Tue 2009/09/15 15:00:42.651  (Trace)	|<<<|javawsApplicationMain|WorldPhotoScatter|out setUpWorld()

Tue 2009/09/15 15:00:42.677  (Debug)	|   |AWT-EventQueue-0|TextureImage|GL texture = null, needs to be initialized
Tue 2009/09/15 15:00:42.678  (Debug)	|   |AWT-EventQueue-0|TextureImage|trying to load texture from file data/photos/historical/2162993473_8712efbd28_m.jpg
Tue 2009/09/15 15:00:42.727  (Debug)	|   |AWT-EventQueue-0|TextureImage|we no longer need the TextureData, so lets flush it now...
Tue 2009/09/15 15:00:42.729  (Debug)	|   |AWT-EventQueue-0|TextureFBO|texture = null, so we need to initialize it.
Tue 2009/09/15 15:00:42.788  (Info)	|   |AWT-EventQueue-0|TextureFBO|GL_FRAMEBUFFER_COMPLETE_EXT OK, using FBO
Tue 2009/09/15 15:00:42.789  (Info)	|   |AWT-EventQueue-0|TextureFBO|fbo offScreenWidth/Height = 600/400
Tue 2009/09/15 15:00:42.790  (Info)	|   |AWT-EventQueue-0|TextureFBO|fbo texture id=3
Tue 2009/09/15 15:00:42.791  (Info)	|   |AWT-EventQueue-0|TextureFBO|fbo id=1
Tue 2009/09/15 15:00:42.792  (Info)	|   |AWT-EventQueue-0|TextureFBO|fbo's rbo id=1
Tue 2009/09/15 15:00:42.942  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:42.943  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:42.946  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:42.948  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:42.951  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.031  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.032  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.034  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.035  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.036  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.046  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.048  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.049  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.051  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.052  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.061  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.062  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.063  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.065  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.066  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.078  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.079  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.080  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.082  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.083  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.094  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.096  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.097  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.098  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.099  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.111  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.112  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.114  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.115  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.116  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.128  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.129  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.130  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.132  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.133  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.144  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.146  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.147  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.148  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.149  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.161  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.163  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.164  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.165  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.166  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.178  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.179  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.181  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.182  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.183  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.195  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.196  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.197  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.199  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.200  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.212  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.213  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.214  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.216  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.217  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.229  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.230  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.231  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.233  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.234  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.245  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.246  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.247  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.249  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.250  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.262  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.263  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.264  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.265  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.266  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.278  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.280  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.281  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.282  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.283  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.296  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.297  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.298  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.299  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.300  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.312  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.314  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.315  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.316  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.317  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.351  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.352  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

Tue 2009/09/15 15:00:43.353  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|out applyFBO()
Tue 2009/09/15 15:00:43.354  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_x|0.5
Tue 2009/09/15 15:00:43.355  (Debug)	|---|AWT-EventQueue-0|GeomPhotoScatterFBO|light1_y|0.5
Tue 2009/09/15 15:00:43.383  (Debug)	|   |AWT-EventQueue-0|GeomPhotoScatterFBO|in GeomPhotoScatterFBO.draw() : texture is valid

Tue 2009/09/15 15:00:43.385  (Trace)	|>>>|AWT-EventQueue-0|TextureFBOScatter|in applyFBO()

